transcription_type,receipt_id,banner_id,total,transaction_date,transaction_time,sr_no,item_type,qty,upc,price,per_item,rejection_reason,worker_id,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9
UPC,745712439,total_wine_n_more,23.92,05/06/2019,,1,Item,,,,,,,745712439_1,,,,,,,,
UPC,745712537,walmart,89.96,05/07/2019,,1,Item,,,,,,,745712537_1,745712537_2,,,,,,,
UPC,745712575,exchange,11.75,05/07/2019,,1,Item,,,,,,,745712575_1,745712575_2,,,,,,,
UPC,745712777,walgreens,3.2,05/05/2019,,1,Item,,,,,,,745712777_1,,,,,,,,
UPC,745712948,walgreens,36.2,05/05/2019,,1,Item,,,,,,,745712948_1,745712948_2,,,,,,,
UPC,745713471,walgreens,1.13,05/06/2019,,1,Item,,,,,,,745713471_1,,,,,,,,
UPC,745713550,total_wine_n_more,83.47,05/06/2019,,1,Item,,,,,,,745713550_1,,,,,,,,
UPC,745713781,bjs,167.1,05/06/2019,,1,Item,,,,,,,745713781_1,745713781_2,745713781_3,,,,,,
UPC,745713783,walgreens,3.08,05/07/2019,,1,Item,,,,,,,745713783_1,,,,,,,,
UPC,745714718,ulta_beauty_supply,31.0,05/04/2019,,1,Item,,,,,,,745714718_1,,,,,,,,
UPC,745715016,commissary,170.68,05/07/2019,,1,Item,,,,,,,745715016_1,745715016_2,745715016_3,,,,,,
UPC,745715017,ulta_beauty_supply,26.63,05/04/2019,,1,Item,,,,,,,745715017_1,,,,,,,,
UPC,745715293,ulta_beauty_supply,28.78,05/04/2019,,1,Item,,,,,,,745715293_1,,,,,,,,
UPC,745715440,bjs,53.83,05/06/2019,,1,Item,,,,,,,745715440_1,,,,,,,,
UPC,745715561,dollar_general,20.14,05/07/2019,,1,Item,,,,,,,745715561_1,,,,,,,,
UPC,745715774,commissary,15.2,05/07/2019,,1,Item,,,,,,,745715774_1,,,,,,,,
UPC,745715984,walmart,37.06,05/06/2019,,1,Item,,,,,,,745715984_1,,,,,,,,
UPC,745716017,harps_food_store,68.73,05/01/2019,,1,Item,,,,,,,745716017_1,,,,,,,,
UPC,745716077,walmart,8.08,05/03/2019,,1,Item,,,,,,,745716077_1,,,,,,,,
UPC,745716199,walmart,3.93,05/02/2019,,1,Item,,,,,,,745716199_1,,,,,,,,
UPC,745716688,walgreens,3.98,05/07/2019,,1,Item,,,,,,,745716688_1,745716688_2,,,,,,,
UPC,745717018,the_vitamin_shoppe,0.0,05/06/2019,,1,Item,,,,,,,745717018_1,745717018_2,745717018_3,,,,,,
UPC,745717042,walgreens,4.98,05/06/2019,,1,Item,,,,,,,745717042_1,,,,,,,,
UPC,745717279,exchange,11.41,04/29/2019,,1,Item,,,,,,,745717279_1,,,,,,,,
UPC,745717511,bjs,16.54,05/05/2019,,1,Item,,,,,,,745717511_1,745717511_2,,,,,,,
UPC,745718125,walgreens,13.38,05/03/2019,,1,Item,,,,,,,745718125_1,,,,,,,,
UPC,745718290,dollar_general,19.47,05/07/2019,,1,Item,,,,,,,745718290_1,,,,,,,,
UPC,745718392,cub,14.95,05/06/2019,,1,Item,,,,,,,745718392_1,745718392_2,,,,,,,
UPC,745718394,bed_bath_and_beyond,50.0,04/27/2019,,1,Item,,,,,,,745718394_1,,,,,,,,
UPC,745718477,walmart,162.34,05/06/2019,,1,Item,,,,,,,745718477_1,745718477_2,,,,,,,
UPC,745718833,walmart,81.6,05/03/2019,,1,Item,,,,,,,745718833_1,,,,,,,,
UPC,745719262,harps_food_store,1.12,05/06/2019,,1,Item,,,,,,,745719262_1,,,,,,,,
UPC,745719690,meijer,59.26,04/26/2019,,1,Item,,,,,,,745719690_1,,,,,,,,
UPC,745720222,shopko,18.7,05/06/2019,,1,Item,,,,,,,745720222_1,745720222_2,,,,,,,
UPC,745720343,walmart,1.05,05/04/2019,,1,Item,,,,,,,745720343_1,,,,,,,,
UPC,745720769,walmart,26.04,05/07/2019,,1,Item,,,,,,,745720769_1,,,,,,,,
UPC,745720830,walmart,18.49,05/03/2019,,1,Item,,,,,,,745720830_1,,,,,,,,
UPC,745720968,winco_foods,12.37,05/06/2019,,1,Item,,,,,,,745720968_1,,,,,,,,
UPC,745721011,the_vitamin_shoppe,33.59,05/02/2019,,1,Item,,,,,,,745721011_1,,,,,,,,
UPC,745721030,walgreens,4.28,05/05/2019,,1,Item,,,,,,,745721030_1,,,,,,,,
UPC,745721188,walmart,65.7,04/29/2019,,1,Item,,,,,,,745721188_1,,,,,,,,
UPC,745721237,bjs,39.56,05/05/2019,,1,Item,,,,,,,745721237_1,745721237_2,,,,,,,
UPC,745721425,family_dollar,2.54,05/06/2019,,1,Item,,,,,,,745721425_1,,,,,,,,
UPC,745721784,walgreens,0.0,05/06/2019,,1,Item,,,,,,,745721784_1,,,,,,,,
UPC,745722360,walmart,22.67,05/03/2019,,1,Item,,,,,,,745722360_1,,,,,,,,
UPC,745722427,walgreens,1.8,05/06/2019,,1,Item,,,,,,,745722427_1,745722427_2,,,,,,,
UPC,745722661,walmart,4.33,05/06/2019,,1,Item,,,,,,,745722661_1,,,,,,,,
UPC,745722711,bjs,54.87,04/27/2019,,1,Item,,,,,,,745722711_1,745722711_2,745722711_3,,,,,,
UPC,745722832,walmart,23.72,05/04/2019,,1,Item,,,,,,,745722832_1,,,,,,,,
UPC,745722883,walgreens,31.66,05/07/2019,,1,Item,,,,,,,745722883_1,745722883_2,745722883_3,,,,,,
UPC,745722940,walgreens,2.82,05/03/2019,,1,Item,,,,,,,745722940_1,745722940_2,,,,,,,
UPC,745723297,fred_meyer,12.99,05/06/2019,,1,Item,,,,,,,745723297_1,745723297_2,,,,,,,
UPC,745723385,bed_bath_and_beyond,95.26,04/30/2019,,1,Item,,,,,,,745723385_1,745723385_2,,,,,,,
UPC,745723453,bed_bath_and_beyond,17.62,05/06/2019,,1,Item,,,,,,,745723453_1,745723453_2,745723453_3,,,,,,
UPC,745723567,bjs,20.0,05/07/2019,,1,Item,,,,,,,745723567_1,,,,,,,,
UPC,745723637,bjs,51.7,05/06/2019,,1,Item,,,,,,,745723637_1,745723637_2,745723637_3,,,,,,
UPC,745724443,bjs,167.43,04/28/2019,,1,Item,,,,,,,745724443_1,,,,,,,,
UPC,745724479,exchange,33.84,05/05/2019,,1,Item,,,,,,,745724479_1,,,,,,,,
UPC,745724758,walgreens,12.25,05/04/2019,,1,Item,,,,,,,745724758_1,,,,,,,,
UPC,745725416,walgreens,439.76,05/04/2019,,1,Item,,,,,,,745725416_1,,,,,,,,
UPC,745725437,walmart,10.1,05/06/2019,,1,Item,,,,,,,745725437_1,,,,,,,,
UPC,745725526,walmart,17.33,05/06/2019,,1,Item,,,,,,,745725526_1,,,,,,,,
UPC,745725544,walmart,2.03,05/06/2019,,1,Item,,,,,,,745725544_1,,,,,,,,
UPC,745725558,walmart,80.52,05/06/2019,,1,Item,,,,,,,745725558_1,,,,,,,,
UPC,745725750,bed_bath_and_beyond,7.99,05/06/2019,,1,Item,,,,,,,745725750_1,,,,,,,,
UPC,745725874,walmart,10.54,05/05/2019,,1,Item,,,,,,,745725874_1,,,,,,,,
UPC,745725960,walmart,235.0,05/06/2019,,1,Item,,,,,,,745725960_1,,,,,,,,
UPC,745726149,walmart,35.68,05/06/2019,,1,Item,,,,,,,745726149_1,,,,,,,,
UPC,745726218,dollar_general_market,21.94,04/27/2019,,1,Item,,,,,,,745726218_1,,,,,,,,
UPC,745726666,winco_foods,55.99,05/04/2019,,1,Item,,,,,,,745726666_1,745726666_2,,,,,,,
UPC,745726689,walmart,29.38,05/06/2019,,1,Item,,,,,,,745726689_1,,,,,,,,
UPC,745726924,walmart,22.66,05/06/2019,,1,Item,,,,,,,745726924_1,,,,,,,,
UPC,745727160,winco_foods,59.23,05/06/2019,,1,Item,,,,,,,745727160_1,,,,,,,,
UPC,745727193,walmart,0.58,05/07/2019,,1,Item,,,,,,,745727193_1,,,,,,,,
UPC,745727391,walmart,12.83,05/06/2019,,1,Item,,,,,,,745727391_1,,,,,,,,
UPC,745727533,walgreens,18.29,05/06/2019,,1,Item,,,,,,,745727533_1,,,,,,,,
UPC,745727742,dollar_general_market,10.68,05/05/2019,,1,Item,,,,,,,745727742_1,,,,,,,,
UPC,745727962,walgreens,15.64,05/02/2019,,1,Item,,,,,,,745727962_1,,,,,,,,
UPC,745728011,dollar_general,15.74,05/07/2019,,1,Item,,,,,,,745728011_1,,,,,,,,
UPC,745728222,walmart,15.71,05/06/2019,,1,Item,,,,,,,745728222_1,,,,,,,,
UPC,745728476,cub,16.2,05/06/2019,,1,Item,,,,,,,745728476_1,745728476_2,,,,,,,
UPC,745728581,walmart,59.24,05/07/2019,,1,Item,,,,,,,745728581_1,,,,,,,,
UPC,745728650,walmart,1.0,05/02/2019,,1,Item,,,,,,,745728650_1,,,,,,,,
UPC,745728672,walmart,170.75,05/06/2019,,1,Item,,,,,,,745728672_1,745728672_2,,,,,,,
UPC,745728847,walgreens,35.9,05/05/2019,,1,Item,,,,,,,745728847_1,745728847_2,745728847_3,,,,,,
UPC,745729031,walgreens,46.45,05/03/2019,,1,Item,,,,,,,745729031_1,745729031_2,745729031_3,,,,,,
UPC,745729156,total_wine_n_more,25.4,05/04/2019,,1,Item,,,,,,,745729156_1,745729156_2,745729156_3,,,,,,
UPC,745729381,walmart,7.17,05/06/2019,,1,Item,,,,,,,745729381_1,,,,,,,,
UPC,745729511,dollar_general,7.95,05/04/2019,,1,Item,,,,,,,745729511_1,745729511_2,,,,,,,
UPC,745729559,walmart,18.36,04/25/2019,,1,Item,,,,,,,745729559_1,,,,,,,,
UPC,745729565,walmart,165.18,05/06/2019,,1,Item,,,,,,,745729565_1,745729565_2,745729565_3,,,,,,
UPC,745729651,bjs,4.31,05/07/2019,,1,Item,,,,,,,745729651_1,,,,,,,,
UPC,745729677,walmart,54.35,05/06/2019,,1,Item,,,,,,,745729677_1,,,,,,,,
UPC,745729821,walgreens,31.15,05/01/2019,,1,Item,,,,,,,745729821_1,745729821_2,,,,,,,
UPC,745729828,walmart,42.43,04/25/2019,,1,Item,,,,,,,745729828_1,,,,,,,,
UPC,745729984,petsmart,47.68,05/06/2019,,1,Item,,,,,,,745729984_1,,,,,,,,
UPC,745730080,meijer,31.0,05/07/2019,,1,Item,,,,,,,745730080_1,,,,,,,,
UPC,745730081,commissary,3.25,05/07/2019,,1,Item,,,,,,,745730081_1,,,,,,,,
UPC,745730290,exchange,48.49,05/07/2019,,1,Item,,,,,,,745730290_1,745730290_2,,,,,,,
UPC,745730339,dollar_general,20.54,05/06/2019,,1,Item,,,,,,,745730339_1,,,,,,,,
UPC,745730484,walmart,177.35,05/06/2019,,1,Item,,,,,,,745730484_1,,,,,,,,
UPC,745730552,walmart,24.04,05/01/2019,,1,Item,,,,,,,745730552_1,,,,,,,,
UPC,745730573,fred_meyer,5.24,05/05/2019,,1,Item,,,,,,,745730573_1,,,,,,,,
UPC,745730694,discount_drug_mart,22.54,05/04/2019,,1,Item,,,,,,,745730694_1,,,,,,,,
UPC,745730768,duane_reade,12.61,05/07/2019,,1,Item,,,,,,,745730768_1,745730768_2,,,,,,,
UPC,745730799,fred_meyer,7.46,05/06/2019,,1,Item,,,,,,,745730799_1,,,,,,,,
UPC,745730848,winco_foods,285.65,05/05/2019,,1,Item,,,,,,,745730848_1,745730848_2,745730848_3,745730848_4,,,,,
